,Job_Title,Job_Type,Company,Location,Remote,Salary,Summary
0,Data Security Analyst,Full-time,CWB Financial Group,Hybrid Canada,True,,"At CWB , we strive to build value for the people who choose us every day: our people, our clients and our investors. We do this by holding true to the values that guide us. We put people first and build relationships with intention. We seek out and embrace new ideas, knowing that better is always possible. We believe that how we do things is as important as what we do. And we harness the power of inclusion. Our culture is who we are and how we show up - as individuals and as a team - to accomplish our strategy. Canadian Western Bank (CWB) is the only full-service bank in Canada with a strategic focus to meet the unique financial needs of businesses and their owners. Our teams take a relationship-based approach to deliver a uniquely proactive client experience through highly personalized service, specialized expertise, customized solutions, and faster response times. We provide full-service business and personal banking, nation-wide specialized financing in targeted industries, comprehensive wealth management offerings, and trust services. And we do it together – united, as one CWB. We are firmly committed to the responsible creation of value for all our stakeholders and our approach to sustainability will support our continued success. Our highly engaged teams operate within a client-centric, collaborative and change-ready culture, with a core focus to achieve our vision to become the best full-service bank for business owners in Canada as we continue to transform our capabilities. And we are building momentum. CWB offers an unmatched employee experience guaranteed to redefine what it means to work for a top employer. Our culture is a key differentiator and one we are proud of. The opportunity CWB data is an important asset. Taking into consideration the rise of global cyber security incidents and its direct impact to branding and reputation, CWB Financial Group is committed to developing and implementing policies, processes, and technologies to manage data security proactively and effectively for our business, our clients, and our employees. The Data Security analyst is a member of the Data Protection team, within the CWB Information Security Office (ISO) and will be responsible for the implementation and day-to-day operations of modern-day, industry-leading data security and data loss prevention technologies. Specific Accountabilities Accountability #1 – Data Protection Apply risk management and treatment methodologies to balance the needs of CWB Financial Group while ensuring that data usage behaviours are changed to mitigate identified risks. Assist with managing the day-to-day activities of the Data Protection team, as they relate to ongoing data discovery, Cloud Access Security, Information Rights Management, and enterprise’ storage strategies. Maintain solutions to secure and control email, documents, and sensitive data by applying the principal of least privilege. Support Business Units by ensuring business-to-security alignment. Identify opportunities from the perspectives of people, processes, and technology while ensuring the highest quality confidentiality, integrity, and availability of information assets. Participate in educating the company and its employees about data protection and privacy best practices. Execute procedures, perform detailed data analysis, root cause analysis, document results, suggest improvements for operational efficiencies, identify opportunities to reduce risk and document remediation options regarding acceptance or mitigation of risk scenarios relevant to data protection. Contribute to Incident Response (IR) plans and playbooks, as needed. Accountability #2 – Data Loss Prevention Assist in improving and building operational procedures to leverage the cloud-based technologies for the purpose of ongoing monitoring and continuous protection of data usage and sharing. Recommend and facilitate the implementation of technical controls to support and enforce defined security policies. Assist with Security Incidents and Investigations Work closely with the Identity & Access Management team to ensure access to data is provisioned to our centralized identities, on a need-to-know basis. Assist in implementing data retention schedules based on classification and ensuring the use of automatically applying retention label policies. Skills and competencies that will take you further Education Post secondary diploma in the field of Computing Science, Information Systems Security, or equivalent experience Required: CompTIA Security+, (ISC)2 Entry-Level Cybersecurity Certification, System Security Certified Practitioner (SSCP) or commitment to obtain within the first two years of employment Professional Experience Minimum of 5 years of Information Technology experience with two (2) of those years in an Information Security domain 2+ years of experience in administering data protection controls, data governance, regulatory requirements, PII and privacy protection, data risk assessment and data loss prevention Actively contribute to define data asset - discovery and inventory, data flows, data lineage, infrastructure mapping, data stewardship and classification Previous experience in Microsoft 365’s Purview (aka Microsoft 365 Compliance) and Microsoft Information Protection would be beneficial Participate in end-to-end Data lifecycle management Solid understanding of encryption and anonymization, masking methods, hashing, tokenization, and key management (DKE, PGP, PKI, CKM, BYOK etc.) Prior experience working with BigID, OneTrust or similar products for discovering, managing, and protecting structured data would be beneficial Applicable understanding of data encryption capabilities (i.e., field level encryption, file level encryption) Scripting and automation skills Strong knowledge of technical infrastructure, public cloud, network, databases, and systems Strong familiarity with information security frameworks and standards including OSFI B-13 Technology and Cyber Risk Management, the NIST Cyber Security Framework, ISO 27000 series, NIST SP 800-53 Security and Privacy Controls for Information Systems and Organizations (Rev. 4 or 5) Experience with cloud computing, enterprise Microsoft 365, Windows and/or Linux technology infrastructure, access security, data protection security, and information systems auditing Demonstrated ability to participate in projects of moderate to high complexity Familiarity with the Information Technology Infrastructure Library (ITIL) IT service management framework Desirable: Experience with the financial services industry is an asset Desirable: Experience in defining metrics, KPIs, implementing cybersecurity dashboards Personal Competencies Exceptional written, verbal, listening, and interpersonal skills Ability to use critical judgement to make decisions and solve problems involving various levels of complexity, ambiguity, and risk Good analytical skills and strong attention to detail Firm commitment to staying informed and abreast of emerging issues, industry trends etc. Sound to advanced knowledge of business, technology controls, IT security and IT risks Demonstrated ability to participate in projects of moderate to high complexity Ability and commitment to serve as a subject matter expert on business-specific, cross-functional and enterprise initiatives Ability to work in a collaborative team environment Ability to work independently and autonomously Ability to communicate ideas in both technical and user-friendly language Ability to generate reports for the Data Protection leadership group, various lines of businesses and ISO Go further with CWB. Apply today. Why work with us? Winners of Canada’s Most Admired Corporate Culture 2021 & Recognized as one of 50 Best Workplaces in Canada by Great Places to Work 2022 & Best Workplaces for Mental Wellness in Canada 2021 Values driven people first benefits Wellness matters. We offer an award-winning benefits package that includes hybrid work environments, everyday flexibility, 100% company-funded health coverage, health care spending account, a flexible wellness program & generous time-away options to unplug, rest & recover. Bring your whole self to work. Inclusion is a journey requiring practice & experience to result in a powerful outcome. Your perspective matters & voice will be heard. Find a community within the CWB family in our employee represented groups. Career development. We invest in our employees’ development to help them reach their professional goals with organization wide Coaching services. Strategic career design is an investment in our core asset – our people. Innovation. Learn. Grow. Enhance. At CWB, we play to win. When we fail, we fail forward. Recognition. Peer-to-peer recognition programs for “in the moment” and monumental wins. Community giving. Make a difference. Drive economic prosperity in your community. Get involved. Volunteer. Fundraise. All with CWB support. ESG & sustainability focused. Be proud of where you spend, work & invest. Financial rewards. Base salary & pay for performance incentives. Retirement investment strategy. You can’t work forever! So, we’ve got you covered. Company ownership. No greater sense of motivation & empowerment than being an owner! F ind your “why” at cwbcareers.com . #LI-EH1 As an equitable employer, CWB Financial Group is committed to providing a safe and inclusive environment where a diverse workforce thrives. You are welcomed and encouraged to bring your whole self to work. Dignity, respect and equality are non-negotiables. If you require accommodation during any part of the recruitment or selection process, please reach out. Closing Date: Position closes at 12:01am on the close date identified below. 06/22/2022"
1,Inventory Analyst,Full-time,Canadian Natural,"Calgary, AB",False,,"Inventory Analyst- (2210923)The Opportunity:Are you someone who has a passion for analyzing, investigating, and organizing master data? If so, this Inventory Analyst position might just be the opportunity you were looking for! You will act as a key partner within the Supply Management and support a variety of additional teams such as Operations and Systems Support. You will be a persistent problem solver who enjoys data intensive, analytical work, and should be deeply committed to data quality and accuracy. Using clear and open communication, and utilizing your understanding of current supply chain and digital & technology trends, you will provide valuable technical and analytical expertise in inventory and data management to drive continuous improvements at Canadian Natural.Key Accountabilities: Manage the creation, maintenance, improvement, and integrity of supply chain master data Perform the implementation and maintenance of system attributes and procedures to improve transactional quality and efficiency Provide reporting and analytics for inventory and procurement performance measures by building dashboards and reports Use your strong communication skills to present data and insights in a clear and concise manner using visualization tools for supply management and business stakeholders Use descriptive (what happened) and diagnostic (why did it happen) analytics to develop specific, actionable recommendations and strategies Deliver inventory and business process improvements by evaluating process workflows, emerging technologies, and conducting analytics which directly support the outcomes of new business capabilities Other Details: Job location: Calgary, Alberta Eligible for relocation pursuant to Canadian Natural’s Relocation Regular Policy This position may require business travel to site to interact and collaborate with the various value streams This is a safety sensitive position Competitive salary, stock options, stock savings plan and benefits Skills & Qualifications: 5+ years of direct experience in master data management, business analysis, inventory control, Procure-to-Pay (P2P), or end-to-end supply management Undergraduate degree in either Business, Mathematics, Statistics, Economics, Computer/Data Sciences, Supply Chain Management, or a related discipline Advanced computer skills including spreadsheet software (Google Sheets and/or MS Excel, etc.), MS PowerPoint, MS Access and previous experience with ERP systems (i.e. Maximo, SAP, Oracle, JD Edwards) Ability to analyze data and create dashboards with Tableau or with other data visualization tools (i.e. TIBCO Spotfire, MS Power BI, etc.) Experience consulting either internally or within a professional services firm or in an analytical operations function is highly desired Why Canadian Natural?CANADIAN NATURAL is a senior independent crude oil and natural gas exploration, development and production company based in Calgary, Alberta, Canada. Our strong, diversified asset base is comprised of a balanced portfolio of light, synthetic, and heavy crude oil and natural gas. Canadian Natural operates in Canada, the United Kingdom and Offshore Africa.At Canadian Natural, we strive to live through our mission statement: ""To develop people to work together to create value for the Company's shareholders by doing it right with fun and integrity.""We are committed to a long-term presence in the communities where we operate. Our activities create value by providing employment, business development opportunities, revenues to governments that contribute to spending on goods and services, and essential resources for public services, including health, safety, education and training.Over the last 30 years, we have grown from a Company with nine employees to over 10,000 employees. We have increased our production from approximately 400 BOE/d in 1989 to more than one million BOE/d today.Safety is a core value at Canadian Natural. We conduct all of our operations in a way that identifies, minimizes and mitigates harm to the health and safety of employees, contractors, the public and the environment.Canadian Natural Resources Limited - CNRL - is a publicly traded company on the TSX and NYSE as CNQApplication deadline is* June 19, 2022*. Apply today!Primary Location CalgaryJob Supply Management Job Type: Full-time"
2,Junior Financial Data Analyst,Full-time,Lawson Lundell LLP,"Calgary, AB",False,,"Lawson Lundell LLP is a leading regional Canadian business law firm with offices in Vancouver, Kelowna, Calgary and Yellowknife. The firm is recognized and respected by its peers in legal and business publications and was recently named one of BC’s Top Employers for 2022. Business in Vancouver also recognized Lawson Lundell LLP as the fastest growing law firm in Western Canada. Lawson Lundell LLP is seeking a recent university graduate, for the role of Financial Data Analyst, to join our Calgary office. Reporting to the Senior Paralegal, and Partner responsible for project completions, this role will assist our high performing Real Estate legal group with numerous project land closings, involving thousands of individual investors. The regular working hours for this role are Monday – Friday, 8:30am – 4:30pm. Remote work will not be an option. Preference will be given to candidates with strong working knowledge of excel. Standard Responsibilities: Tracking flow of funds. Reporting to investors. Review and completion of federal tax filings with the Canada Revenue Agency. Qualifications: 2 year diploma or Bachelor’s degree in a financial program from an accredited post- secondary institution. Previous experience in a financial role is an asset. Proven ability to handle multiple tasks, concurrent projects and competing priorities while remaining calm in a high-volume, fast-paced and deadline-driven service organization. Solid technical skills including internet research, MSOffice Suite—Word, Excel, PowerPoint, etc. Very strong attention to detail. Ability to focus on tasks, follow instructions and be comfortable with working in a professional environment. Excellent interpersonal skills, polite, professional, positive manner, and a client service approach. Excellent oral and written communication skills. Ability to maintain confidentiality. Ability to function in a collaborative organization and be a team player. If you are a professional, self-motivated hardworking team player with a positive outlook and would like to share your expertise with us, please submit your resume with a cover letter to Aubrey Guild-Young, Partner. Exciting perks and benefits of working at Lawson: Competitive Compensation Health Benefits: extended health, dental, vision, out of country, life, ad&d Fitness Benefit: reimbursement for fitness equipment or fitness membership Paid Time Off: vacation time starts at 3 weeks, personal days, sick time, and a volunteer day every year Financial Benefits: defined contribution pension plan matched by the firm, RRSP, TFSA, year-end bonuses and an employee referral bonus program Fun Environment: annual year end party, happy hours, staff appreciation week, and many other social events Awards: long term service (bonuses & extra vacation) What to expect A commitment to diversity and inclusiveness; we believe that fostering a diverse and inclusive workplace benefits both our firm and clients An environment where constant learning is encouraged A fun and collaborative work environment A team of unique individuals who will help take your skills and experience to the next level A commitment to providing a discrimination-free and harassment-free workplace environment Although we thank all applicants for their interest in Lawson Lundell LLP, only shortlisted candidates will be contacted. No phone calls please. Job Types: Full-time, Permanent Additional pay: Bonus pay Overtime pay Benefits: Dental care Disability insurance Discounted or free food Extended health care Life insurance Paid time off Vision care Schedule: 8 hour shift Day shift Monday to Friday No weekends Overtime"
3,Contract Data Reporting Analyst,Temporary,Robert Half,"Edmonton, AB",True,,"Robert Half is recruiting now for an experienced Data Reporting Analyst to fulfill a Contract/Temporary role for our Edmonton Client. The successful Candidate will be accountable for a variety of data reporting solutions utilizing various tools in a growing and evolving environment. You will utilize your solid knowledge and experience in SQL queries and Power query for requirements gathering, development, implementation and all aspects of data analysis and reporting. This role is based Edmonton, AB. but is open to hybrid remote work (work from office/work from home) concessions for eligible candidates. WHAT YOU’LL GET: The opportunity to work for a respected company, where employees work in a fun, fast-paced and flexible work environment. Competitive wage along with a great work/life balance. If you have the qualifications we are looking for, please submit your resume online today. MUST HAVES: 3 + years of experience in a similar role with ability in developing custom reports and dashboards Proficient working knowledge and ability of data manipulation utilizing with Visual Basic In-depth working experience with Microsoft Excel for report generation Solid SQL database skills. The source of the data will be in SQL database Proven working knowledge of Power Query to shape and transform data Excellent knowledge of report development life cycle, technologies, processes, patterns, standards and best practices Strong organizational skills while being detail-oriented and thorough in all work projects An enquiring mind with the ability to think outside the box and search for answers Solid analytical, data analysis and planning skills Good verbal and written communicant skills and adept at building and maintaining strong working relationships and collaborating effectively in a business environment Degree/Diploma from a post-secondary institution in a relevant field or equivalent This position will remain open until a suitable candidate is selected. If you have the qualifications we are looking for, please submit your resume online today. Please quote reference # 05110-0012322697 on all communications. Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles. Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more. Questions? Call your local office at 1.888.490.4429. All applicants applying for Canadian job openings must be authorized to work in Canada. © 2022 Robert Half. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use ."
4,Financial Data Analyst,Full-time,Government of Alberta,"Edmonton, AB",True,6190.0,"Job Information Job Requisition ID: 29202 Ministry: Advanced Education Location: Edmonton Full or Part-Time: Full Time Hours of Work: 36.25 hours per week Regular/Temporary: Regular Scope: Open Competition Closing Date: June 17, 2022 Classification: Program Services 4 About Us The Government of Alberta is committed to a diverse and inclusive public service that reflects the population we serve to best meet the needs of Albertans. Consider joining a team where diversity, inclusion and innovation are valued and supported. The Data Management and Governance (DMG) unit aims to improve the ministry’s data maturity, as follows: Develop, implement, and evolve and enterprise-wide data management and governance. Develop, implement, and evolve stewardship of the Department's major administrative datasets. Collect and provide oversight of key administrative data from the advanced learning system. Role Do you geek out about great data? Does your curiousity drive you to find the root of problems? Are you keen to work with partners from all over Alberta? This opportunity may be for you! The Financial Data Analyst plays a leading role in ensuring that post-secondary institutions not only meet accountability requirements but deepen the value of accountability activities. You will use your systems thinking skills and ability to integrate information to form a deep understanding of the operations of these institutions. Working with the Data Management and Governance team, you will ensure data integrity, improve data systems, and envision ways to add value to data-related functions including collection, validation, analysis, and reporting. This work, in turn, helps build evidence to inform department decision-making and policy development. Your strong communication and collaboration skills help you form solid relationships with colleagues across the Ministry and partners at post-secondary institutions across Alberta. These relationships help you solve problems, develop buy-in, encourage compliance, and envision new and better ways to operate. To be successful in this role, you need: Knowledge of accounting principles and best practices including Public Sector Accounting Standards. data validation, processing, analysis, and reporting. Strong analytical skills and sound judgment to manage high-profile functions and sensitive information. Demonstrated ability to ask perceptive questions and pursue root causes so that innovative and effective solutions can be developed. Experience planning for and delivering results, from concrete deliverables to process improvements, managing resources effectively, and ensuring attention to detail. Experience adapting to changing conditions while staying focused on long-term outcomes. Responsibilities: Ensure operational financial data and tuition data are relevant, standardized, accessible, and usable Understand the data needs indicated by the GoA's and Department's accountability and policy directions, by changes to relevant legislation, and by regular dialogue with post-secondary institution contacts. Lead changes to these datasets to meet emerging needs, balancing new requirements with reporting continuity. Establish, document, maintain, and enforce data definitions, standards, and business rules. Create and manage metadata: define and manage business terminology, allowable values, and other critical meta-data. Role Continue Provide expert advice. Monitor trends and fluctuations in financial performance of post-secondary institutions and brief up as needed. Provide researchers, institutions, other colleagues support to correctly interpret operational financial data. Work with financial, research, and policy colleagues to develop relevant information products using operational financial data and tuition data. Guide data system development, enhancement, and maintenance Ensure data processes are appropriately automated to maximize efficiency and free staff effort for work requirement human judgment, interpretation, and creativity. Build and maintain strong relationships with IT colleagues to ensure clear communication and effective collaboration. Build strong stakeholder relationships Support institution contacts to understand the reasons, methods, and timelines for data submissions. Work with institutional contacts to understand their business needs, how to maximize the return-on-investment for the data they provide, and how to improve data quality, processes, and sharing. Represent stakeholder interests within the ministry and ministry interests to stakeholders. Support the Department's data management and governance efforts Help to socialize data management concepts with colleagues and stakeholders as appropriate.• Help data management colleagues understand operational financial data and tuition data elements for the purpose of data modeling, cataloguing, and warehousing. Qualifications Requirements: All three of the following are required: A university degree in a relevant field such as (but not limited to) data science, library science, arts, public administration, or economics a minimum of 2 years’ related experience Advanced skills in Microsoft Excel Related experience or education may be considered as an equivalency on a one-for-one basis. Assets: Preference will be given to applicants possessing or pursuing an accounting designation. Experience with the following will be considered assets: working with developers to build or fix data systems, regulatory compliance, or Alberta’s adult learning system. APS Competencies Competencies are essential behaviors in a job. Learn about the Alberta Public Services competencies here: Your strengths are in Systems Thinking, Develop Networks, Creative Problem Solving, and Driving for Results. Please ensure your cover letter provides concrete examples of how you have demonstrated these competencies in the past. Systems Thinking: understands and acts with an awareness of the ministry’s culture, business, and environment; the government’s direction and political climate; and stakeholder issues across Alberta’s economic, innovation, and learning systems. Demonstrates strong analytical skills and sound judgment to manage high-profile functions involving sensitive information. Develop Networks: Developing collaborative environments by focusing on authentic relationships that leverage expertise, ingenuity, and effort from staff and colleagues across the Ministry, Government, and post-secondary system. Creative Problem Solving: identifies and brings together the right people to solve complex problems and find solutions; seeks out alternative ways to improve complex systems or processes to better achieve desired outcomes. Drive for Results: plans for and delivers results, from concrete deliverables to process improvements, managing resources effectively, and ensuring attention to detail. Salary $ 2,683.10 to $ 3,507.06 bi-weekly. ($70,028 - $ 91,534 per year) Notes There is one permanent position available located in Edmonton. This position is 36.25 hours per week, 8:15 am – 4:30 pm Monday- Friday. Applicants are advised to provide a cover letter summarizing information that clearly and concisely demonstrates how their qualifications meet the advertised requirements, including education, experience and relevant examples of required competencies. This competition may be used to fill future vacancies across the Government of Alberta, at equal or lower classification and salary. What we offer: Working for the Alberta Public Service – Comprehensive benefits plan: Pension plan: Health Spending Account: Leadership and mentorship programs Professional learning and development Positive workplace culture and work-life balance Opportunity to participate in flexible work arrangements such as working from home up to two days per week and modified work schedule agreements Research Alberta Public Service Careers tool – How To Apply If you are not currently an employee with the Government of Alberta, the first step in applying for a job is creating your candidate profile within our online application system, Existing employees should access the Career tile in 1GX to submit their application in order to be recognized as an internal applicant. Once you have created your candidate profile, visit the Alberta Public Service job site to apply for jobs at Applicants are advised to provide information that clearly and concisely demonstrates how their qualifications meet the advertised requirements, including education, experience and relevant examples of required competencies. In your resume, please include dates (including months and years) associated with all education and work experience. Please also indicate whether your work experience was casual, part-time or full-time. For example: January 15, 2006 - June 25, 2009: Assistant (PT three 8 hr shifts/week). Resources for applicants: aspx It is recommended that applicants who have obtained educational credentials from outside of Canada and have not had them previously assessed, obtain an evaluation of their credentials from the International Qualifications Assessment Service (IQAS) Closing Statement This competition may be used to fill future vacancies, across the Government of Alberta, at the same or lower classification level. We thank all applicants for their interest. All applications will be reviewed to determine which candidates' qualifications most closely match the advertised requirements. If you require any further information on this job posting, please contact Zooha Baig at Zooha.baig@gov.ab.ca."
5,"Data Analyst, Financial Crime Risk",Full-time,Neo Financial,"Calgary, AB",False,,"Overview: At Neo, we’re reimagining everyday financial services from the ground up and shaping the financial future for millions of people in Canada. We’re a tech company consistently pushing for the next best thing, which provides many opportunities to grow and learn personally and professionally. Ready to materialize your passion into a connected purpose? Come join a high-speed startup in a community of high-achieving dreamers and doers, set on innovating the best solutions. Risk Analytics @ Neo Neo’s Credit Risk team works hard to enable a high growth portfolio with sound risk management principles while optimizing credit decisioning across the customer lifecycle. This team of high-performers leads the development and implementation of key credit risk strategies to effectively manage the lending portfolio inline with our business objectives. The Role Neo is looking for a data driven individual with strong knowledge of advanced analytical techniques to join our team in our Calgary headquarters. Leveraging your knack for data and a strong statistical foundation, you’ll make an immediate impact via development and deployment of advanced analytical techniques across our credit and fraud decisioning projects. You’ll be contributing to our innovative, strategic, and high-performance team with a mission to improve the financial experience for all Canadians. What you'll be doing:: Develop reporting capabilities to actively monitor performance, and identify trends to enable strategic business decisions Analyze risk profiles across the financial crimes vectors, leveraging advanced analytics and machine learning to best identify exposure/opportunities Analyze key business metrics including true positive rates, false positive rates, portfolio fraud rates Collaborate with key stakeholders across the organization to integrate foundational risk practices Who we're looking for:: 1-3 years experience in data analytics; experience in risk management,fraud analytics, AML analytics considered an asset Strong knowledge of SQL, R and Python Data-driven, eager to understand the numbers and provide meaningful insights Strong written and verbal communication skills; able to adapt communication to different audiences Self-starter, highly focused; driven to achieve business objectives Self-organized, ability to prioritize effectively Able to collaborate with others, engage stakeholders purposefully About applying with us:: At Neo, you’ll be working with industry-leading technology that changes the way we live and realize a better financial future. It’s a serious deal, but that doesn’t mean we don’t know a thing or two about having fun. Our entrepreneurial environment gets our adrenaline pumping and beats the regular 9-5 job. We’re in it together, always. Gain hands-on experience and be part of the future. Neo Financial is an equal opportunity employer. We are excited to meet with and hire the top talent out there. We appreciate your interest in working with us; however, only those applicants selected for interviews will be contacted. Successful candidates for this position will be required to undergo a security screening, including a criminal records check and may require a credit check."
6,"Data Analyst, Physiology & Pharmacology, Cumming School of M...",Part-time,The University of Calgary,"Calgary, AB",False,,"Position Overview The Department of Physiology & Pharmacology in the Cumming School of Medicine invites applications for a Data Analyst. This Fixed Term Recurring Part-time position is for approximately 1 year (based on length of grant funding), with the possibility of extension. The position of Data Analyst Phase I for the Alberta Centre for Toxicology (ACFT) reports to either the Alberta Biomontoring Project Manager, Associate Director or Director. However, accountabilities will be to both the Manager and the Director. Daily workload varies by services, projects deadlines and customer requests. Position is responsible for scheduling his/her own work day/week as determined by the duties, the deadlines and any specific assignments (time management). Work is carried out with moderate supervision and frequent feedback. Position has a high impact of errors and operates in an environment requiring interaction and teamwork with other staff to achieve goals. Position is primarily involved in information management, data quality assurance, data analysis and reporting. The focus is to understand the internal and external needs, design meaningful database structure/functions and improve current data management practices for routine and research data. This is a recurring part-time position. Recurring Part-time employees are hourly employees engaged to perform work on an irregular schedule. Position Description Summary of Key Responsibilities (job functions include but are not limited to): Develop, modify and troubleshoot relational database queries and front-end functionality in Microsoft Access Integrate and manipulate data from various sources using tools such as Power Query and SQL Server Integration Services Design tabular data model and perform complex custom analysis using Excel Power Pivot, SQL Server Analysis Services Tabular or Power BI Define calculated columns and measures inside of a tabular data model using DAX formula language Statistical analysis of data sets Communicate complex data by creating clear and effective visualizations using Excel PivotTables and PivotCharts Design and share Power BI reports Assist management in developing of SOPs, reports, and publications Assist staff to improve their data management practices Qualifications / Requirements: Bachelor of Science degree in computer science or related field with at least 2 years experience in database design and administration plus one year experience with business intelligence tools An equivalent combination of education and experience will be considered Extensive experience using Excel Power Pivot, SQL Server Analysis Service Tabular, or Power BI to design a tabular data model, define calculated columns and measures and deliver interactive reports Extensive experience with Microsoft Access databases Experience with Excel's Get & Transform Data tool (previously known as the Power Query add-in) Solid understanding of SQL (Structured Query Language) is required Solid understanding of DAX (Data Analysis Expressions) formula language is required Proficient in the use of statistics Ability to work independently as well as in a team-oriented environment Excellent verbal and written communication skills Strong organizational and time management skills Experience with Microsoft SQL Server including Integration Services, Analysis Services and Reporting Services will be an asset Knowledge of VBA (Visual Basic for Applications) will be an asset Knowledge of programming in R will be an asset Experience with Microsoft SharePoint will be an asset Application Deadline: June 15, 2022 We would like to thank all applicants in advance for submitting their resumes. Please note, only those candidates chosen to continue on through the selection process will be contacted. Additional Information This position is part of the AUPE bargaining unit, and falls under the Technical Job Family, Phase I. To find out more about management and staff opportunities at the University of Calgary and all we have to offer, view our Management and Staff Careers website. For more information visit Careers in the Cumming School of Medicine. The University strongly recommends all faculty and staff are fully vaccinated against COVID-19. About the University of Calgary The University of Calgary is Canada's leading next-generation university - a living, growing and youthful institution that embraces change and opportunity with a can-do attitude. Located in the nation's most enterprising city, the university is making tremendous progress on its Eyes High journey to be recognized as one of Canada's top five research universities, grounded in innovative learning and teaching and fully integrated with the community it both serves and leads. The University of Calgary inspires and supports discovery, creativity and innovation across all disciplines. For more information, visit ucalgary.ca. The University of Calgary has launched an institution-wide Indigenous Strategy in line with the foundational goals of Eyes High, committing to creating a rich, vibrant, and culturally competent campus that welcomes and supports Indigenous Peoples, encourages Indigenous community partnerships, is inclusive of Indigenous perspectives in all that we do. As an equitable and inclusive employer, the University of Calgary recognizes that a diverse staff/faculty benefits and enriches the work, learning and research experiences of the entire campus and greater community. We are committed to removing barriers that have been historically encountered by some people in our society. We strive to recruit individuals who will further enhance our diversity and will support their academic and professional success while they are here. In particular, we encourage members of the designated groups (women, Indigenous peoples, persons with disabilities, members of visible/racialized minorities, and diverse sexual orientation and gender identities) to apply. To ensure a fair and equitable assessment, we offer accommodation at any stage during the recruitment process to applicants with disabilities. Questions regarding [diversity] EDI at UCalgary can be sent to the Office of Equity, Diversity and Inclusion (equity@ucalgary.ca) and requests for accommodations can be sent to Human Resources (hrhire@ucalgary.ca). We encourage all qualified applicants to apply, however preference will be given to Canadian citizens and permanent residents of Canada."
7,marketing analyst,Full-time,Grizzly Trucks,"Edmonton, AB",False,8000.0,"Business Equipment and Computer Applications MS Excel MS PowerPoint MS Windows MS Word MS Office Specific Skills Respond to enquiries from members of the business community concerning development opportunities Plan development projects Develop policies Develop and implement business plans Conduct surveys and analyze data on the buying habits and preferences of wholesale and retail consumers Conduct comparative research on marketing strategies for industrial and commercial products Conduct social or economic surveys on local, regional, or international areas to assess development of potential and future trends Prepare reports, research papers, educational texts or articles Conduct analytical marketing studies Design market research questionnaires Evaluate customer service and store environments Develop marketing strategies Ensure appropriate business/commercial licenses are in place Conduct online marketing, E-commerce and Website promotions Develop portfolio of marketing materials Work Conditions and Physical Capabilities Fast-paced environment Work under pressure Attention to detail Tight deadlines Personal Suitability Initiative Effective interpersonal skills Flexibility Accurate Team player Excellent oral communication Excellent written communication Client focus Dependability Judgement Reliability Organized"
8,Data Analyst,Fixed term contract,Copperstone Connect,"Calgary, AB",True,,"Data Analyst A Fintech company headquartered in Calgary, AB is seeking a Data Analyst with experience in Data Governance (establishing rules, processes, and strategy for the effective and efficient use of data). This is an exciting opportunity to take on a contract with an industry leader in financial data management and security. The Data Analyst will focus on Data Quality efforts as part of our Data Governance team’s drive to data excellence, and will be responsible for managing our data quality framework, standards, cataloguing, reporting, and remediation. They will drive consistency in the use and application of data quality best practices and standards across the company. Role type: Contractor Location: Remote, with some possible travel to Toronto or Calgary offices Hours: FT, 40 hours/week Term: 6-12 months, with possibility of extension Report to: Head, Project Management Office and Data Governance You are: Detail-oriented with a passion for diving deep into data A collaborative team-player that appreciates working in a fast-paced environment A self starter who is able to take initiative to tackle challenges A strong communicator with an ability to communicate with stakeholders at all levels A quick and continuous learner, eager to understand and adapt to new environments You have (required): 3+ years of experience in tech-based data management, preferably in the investment management industry Proficiency in SQL, preferably with SQL Server Understanding of data modelling, architecture, and warehousing Understanding of data discovery and data description processes You might also have (preferred): Proficiency in SSIS, SSRS, SSAS, and/or Power BI (preferred) Experience in Business Analysis Experience with SimCorp Dimension Experience with Data Quality tools Experience with Data Lineage tools, ideally Octopai Experience with Metadata tools, ideally Azure Data Catalog Understanding of technical, business, and process documentation Understanding of SDLC Methodologies including Waterfall, Agile, Scrum, and Kanban Understanding of Investment Management Market Data and Vendors Candidacy in (or completion of) the CFA Program Responsibilities: Work with Data Stewards and others in discovering and developing DQ requirements and rules Establish, maintain, and promote DQ reports and dashboards for business consumption Monitor and report data quality metrics and trends to Data Stewards and Business Data Owners Work with Project Managers for incorporating data quality processes in project life cycles Conduct profiling and rule development activities Scheduling/Running Rules manual or via scripts Establish and maintain standards for naming convention for DQ rules Establish and maintain processes for profiling, rule development and execution, monitoring, and remediation Job Type: Fixed term contractContract length: 12 months Schedule: 8 hour shift"
